Notes,Notebooks,Catagory,Note Type,Archive,Created,Favorite,Last edited time,URL
Metasploit,Penetration Testing #1 (https://www.notion.so/Penetration-Testing-1-16382a3e9b73818a96f8cdcd2c5d10ef?pvs=21),Tools,Notebook Notes,No,"December 21, 2024 7:32 PM",No,"January 18, 2025 5:15 PM",
Security Operation Fundamentals,,Pentesting,Notebook Notes,No,"January 27, 2025 7:30 PM",No,"January 28, 2025 11:22 AM",
Security Operation Fundamentals,SOC #4 (SOC%20#4%2016382a3e9b73815c8567d0430a6e99a2.html),,Notebook Notes,No,"January 28, 2025 11:22 AM",No,"February 16, 2025 2:23 PM",
"Phishing Analysis ",SOC #4 (SOC%20#4%2016382a3e9b73815c8567d0430a6e99a2.html),,Notebook Notes,No,"January 29, 2025 7:18 PM",No,"February 4, 2025 8:32 PM",
Network Analysis,SOC #4 (SOC%20#4%2016382a3e9b73815c8567d0430a6e99a2.html),,Notebook Notes,No,"February 5, 2025 8:23 PM",No,"February 10, 2025 1:41 PM",
Endpoint Security,SOC #4 (SOC%20#4%2016382a3e9b73815c8567d0430a6e99a2.html),,Notebook Notes,No,"February 10, 2025 6:55 PM",No,"February 18, 2025 8:07 PM",
SEIM,SOC #4 (SOC%20#4%2016382a3e9b73815c8567d0430a6e99a2.html),,Notebook Notes,No,"February 20, 2025 7:13 PM",No,"February 24, 2025 2:23 PM",
Threat Intelligence,SOC #4 (SOC%20#4%2016382a3e9b73815c8567d0430a6e99a2.html),,Notebook Notes,No,"February 28, 2025 10:52 AM",No,"March 1, 2025 1:27 PM",
Digital Road Map,,,Notebook Notes,No,"December 21, 2024 7:32 PM",No,"December 21, 2024 7:32 PM",
Notebook Note,,,Notebook Notes,No,"December 21, 2024 7:39 PM",No,"December 21, 2024 7:40 PM",
Exploiting All Vulnerablities,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"January 14, 2025 2:53 PM",No,"January 14, 2025 10:52 PM",
Notebook Note,Penetration Testing #1 (https://www.notion.so/Penetration-Testing-1-16382a3e9b73818a96f8cdcd2c5d10ef?pvs=21),,Notebook Notes,No,"January 15, 2025 12:06 AM",No,"January 15, 2025 12:06 AM",
"DLL HiJacking ",Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"January 15, 2025 12:07 AM",No,"January 28, 2025 11:19 AM",
Mimikatz,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"January 15, 2025 12:45 PM",No,"January 15, 2025 1:01 PM",
Linux Authentication,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"January 15, 2025 2:07 PM",No,"January 15, 2025 3:20 PM",
Privilege Escalation,"Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21), Privilege Escalation #3 (https://www.notion.so/Privilege-Escalation-3-16382a3e9b73813b818ee9af695108ca?pvs=21)",,Sticky Notes,No,"January 15, 2025 3:20 PM",No,"February 14, 2025 1:14 AM",
Windows Users Levels,Privilege Escalation #3 (https://www.notion.so/Privilege-Escalation-3-16382a3e9b73813b818ee9af695108ca?pvs=21),,Notebook Notes,No,"January 15, 2025 3:41 PM",No,"January 20, 2025 12:39 PM",
Privilege Escalation,Privilege Escalation #3 (https://www.notion.so/Privilege-Escalation-3-16382a3e9b73813b818ee9af695108ca?pvs=21),,Notebook Notes,No,"January 15, 2025 3:45 PM",No,"January 15, 2025 3:45 PM",
Privilege Escalation New,Privilege Escalation #3 (https://www.notion.so/Privilege-Escalation-3-16382a3e9b73813b818ee9af695108ca?pvs=21),,Notebook Notes,No,"January 15, 2025 3:46 PM",No,"January 20, 2025 12:37 PM",
Linux Users Levels,Privilege Escalation #3 (https://www.notion.so/Privilege-Escalation-3-16382a3e9b73813b818ee9af695108ca?pvs=21),,Notebook Notes,No,"January 15, 2025 3:59 PM",No,"January 17, 2025 6:51 PM",
Executing Application on Victim System,Privilege Escalation #3 (https://www.notion.so/Privilege-Escalation-3-16382a3e9b73813b818ee9af695108ca?pvs=21),,Notebook Notes,No,"January 15, 2025 4:12 PM",No,"January 17, 2025 6:51 PM",
Linux Privilege Escalation,"Privilege Escalation #3 (https://www.notion.so/Privilege-Escalation-3-16382a3e9b73813b818ee9af695108ca?pvs=21), Untitled (https://www.notion.so/1a282a3e9b7380ec9141c4d039ab44e6?pvs=21)",,Sticky Notes,No,"January 17, 2025 7:08 PM",No,"February 23, 2025 12:58 AM",
Post Exploitation Covering Tracks,,,Sticky Notes,No,"January 17, 2025 8:31 PM",No,"January 18, 2025 3:09 PM",
"Malware ",Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"January 20, 2025 6:36 PM",No,"January 21, 2025 9:52 PM",
Sniffing & Spoofing,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),Pentesting,Sticky Notes,No,"January 22, 2025 12:12 PM",No,"January 24, 2025 1:23 PM",
Joplin,,,Sticky Notes,No,"January 23, 2025 3:39 PM",No,"January 23, 2025 3:41 PM",
"Social Engineering ",,,Sticky Notes,No,"January 27, 2025 10:48 AM",No,"January 27, 2025 1:32 PM",
Denial Of Service,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"January 28, 2025 11:26 AM",No,"January 29, 2025 2:20 PM",
Session Hijacking,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"January 30, 2025 10:55 AM",No,"February 16, 2025 11:52 PM",
Hacking Web Servers,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"February 1, 2025 11:39 AM",No,"February 3, 2025 2:27 PM",
"Web Applications Pentesting ",,,Sticky Notes,No,"February 4, 2025 11:27 AM",No,"February 6, 2025 1:48 PM",
"IDS, Firewall and Honeypots",,,Sticky Notes,No,"February 7, 2025 11:12 AM",No,"February 10, 2025 12:22 PM",
Digital Forensic,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"February 11, 2025 11:26 AM",No,"February 12, 2025 1:34 PM",
Wireless Pentesting,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"February 13, 2025 11:46 AM",No,"February 17, 2025 2:04 PM",
Mobile Application Security,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"February 18, 2025 10:20 AM",No,"February 20, 2025 1:40 PM",
Cloud Security,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Sticky Notes,No,"February 22, 2025 10:50 AM",No,"February 22, 2025 11:57 AM",
SQL Injection,Penetration #2 (https://www.notion.so/Penetration-2-16382a3e9b7381d4855ac46eb6e27e5d?pvs=21),,Notebook Notes,No,"February 24, 2025 11:48 PM",No,"March 2, 2025 1:13 AM",
Security Operation Fundamentals,SOC #4 (SOC%20#4%2016382a3e9b73815c8567d0430a6e99a2.html),,Notebook Notes,No,"March 2, 2025 1:08 PM",No,"March 2, 2025 1:08 PM",
